id	longitude	latitude	WorldClim: Precipitation - annual	WorldClim: Precipitation - coldest quarter	WorldClim: Precipitation - driest month	WorldClim: Precipitation - driest quarter	WorldClim: Precipitation - seasonality	WorldClim: Precipitation - warmest quarter	WorldClim: Precipitation - wettest month	WorldClim: Precipitation - wettest quarter	WorldClim: Temperature - annual mean	WorldClim: Temperature - annual range	WorldClim: Temperature - coldest month min	WorldClim: Temperature - coldest quarter mean	WorldClim: Temperature - diurnal range mean	WorldClim: Temperature - driest quarter mean	WorldClim: Temperature - isothermality	WorldClim: Temperature - seasonality	WorldClim: Temperature - warmest month max	WorldClim: Temperature - warmest quarter mean	WorldClim: Temperature - wettest quarter mean
Ca19	-121.1792	38.406254	485	251	1	7	84	10	101	251	160	307	32	85	140	233	45	5887	339	233	85
Ca2	-117.46582	33.39476	319	163	2	9	84	15	60	172	164	220	57	122	119	207	54	3642	277	215	125
Ca20	-120.95947	37.892197	343	171	1	6	80	6	65	171	163	319	30	84	147	240	46	6159	349	240	84
Ca3	-118.43262	34.034454	357	205	0	4	98	9	78	217	176	182	88	143	104	208	57	2848	270	215	145
Ca4	-119.26758	34.37971	527	314	0	2	101	8	119	323	153	255	35	108	145	200	56	3808	290	206	112
Ca5	-120.16846	34.506557	616	351	0	2	94	11	123	351	133	213	37	96	119	173	55	3391	250	180	96
Ca6	-120.62988	35.19177	575	321	1	4	92	13	119	323	143	206	46	111	133	172	64	2639	252	178	114
Ca7	-121.223145	35.675148	60	32	0	0	74	2	14	32	137	201	39	106	130	162	64	2403	240	167	111
Ca8	-121.79443	36.70366	391	220	1	6	91	8	89	220	136	176	49	106	106	157	60	2271	225	163	106
Ca9	-122.40967	37.439976	676	342	2	10	85	14	133	342	129	162	51	100	95	153	58	2317	213	158	104
Cas	0.01765	41.46507	403	72	17	72	31	84	53	129	145	283	18	70	107	70	37	6079	301	225	170
Cel	-0.16599	42.23836	597	123	33	123	20	135	71	179	105	259	-11	35	100	35	38	5538	248	177	124
CFW	138.64183	-31.65786	345	110	19	66	26	73	41	118	170	303	27	95	145	212	47	5752	330	243	103
Csb	-4.42646	36.87789	570	239	3	21	64	25	89	255	164	255	51	99	99	236	38	5402	306	236	108
Csj	-5.89048	36.95885	620	250	1	17	66	23	95	268	176	250	66	109	94	246	37	5451	316	249	117
DLS	138.70927	-31.39385	405	138	21	73	32	83	51	150	162	305	18	86	144	205	47	5868	323	236	94
DOK	145.70758	-36.32946	567	167	31	110	18	110	62	172	152	267	35	87	123	218	46	5118	302	218	96
DSC1	138.02641	-32.324947	346	114	17	55	31	55	42	119	169	278	40	101	134	235	48	5253	318	235	110
DSC2	138.02628	-32.32509	344	114	17	55	31	55	41	118	170	278	41	101	133	236	47	5272	319	236	110
EAH	144.22168	-36.67697	513	158	28	90	24	92	59	165	148	260	34	86	121	209	46	4880	294	211	94
EGL	138.67297	-34.97411	845	340	24	83	49	83	127	340	144	219	53	95	107	195	48	3958	272	195	95
EIC	138.6672	-31.39721	409	141	21	72	33	81	52	155	162	304	19	87	144	205	47	5856	323	236	95
Ele	-3.49687	38.37671	497	160	6	35	47	35	67	181	148	323	16	66	121	240	37	6843	339	240	101
ELI	138.74951	-34.54283	458	165	16	54	40	56	57	165	161	240	57	106	119	216	49	4407	297	217	106
ELM	144.4059	-36.48711	481	140	28	94	19	94	53	148	151	264	35	88	124	214	46	4937	299	214	118
Fac	-5.6974	36.13154	866	401	1	15	75	23	148	406	167	202	72	115	81	220	40	4178	274	223	125
Fls1	11.331974	43.15533	722	192	28	113	28	113	94	246	129	255	21	56	84	208	32	6006	276	208	98
Fls2	11.332961	43.154182	722	192	28	113	28	113	94	246	129	255	21	56	84	208	32	6006	276	208	98
FNR	140.33449	-37.52875	734	316	20	73	51	73	114	316	142	195	58	102	101	183	51	3172	253	183	102
Fon	0.75713	41.94098	631	117	35	117	23	162	74	200	123	277	0	45	102	45	36	6185	277	203	146
Foz	-1.30484	42.63651	857	252	41	154	22	154	102	267	119	264	2	48	103	193	39	5670	266	193	57
Fra	1.431463	38.707592	462	139	3	35	53	68	76	201	174	220	69	113	77	236	35	5049	289	242	155
Fue	-4.67978	36.53601	566	256	1	16	71	20	96	277	180	214	81	127	86	237	40	4460	295	240	136
Gal	-0.78688	42.56319	748	194	39	150	16	154	78	215	108	258	-7	39	102	180	39	5523	251	180	75
Gaz	37.390804	37.127724	549	281	2	8	79	11	101	281	151	363	-10	42	124	260	34	8638	353	262	42
GIL	146.5476	-34.76795	470	122	31	100	15	102	48	134	166	289	34	93	130	235	44	5656	323	239	128
GND	137.7277	-35.8025	566	255	14	50	56	50	93	255	152	146	86	117	70	188	47	2773	232	188	117
Gra	-0.33456	42.18629	529	108	27	108	21	114	65	160	108	259	-7	39	100	39	38	5493	252	180	128
GRM	138.0481	-32.99041	381	122	17	53	33	55	46	127	176	257	58	114	126	234	49	4763	315	236	123
GSN	143.46782	-35.473583	381	108	23	72	21	72	42	118	160	275	37	96	132	224	48	5005	312	224	128
GUL1	138.44025	-33.47095	466	171	16	54	41	56	62	171	157	264	42	97	132	217	50	4782	306	218	97
GUL2	138.42093	-33.46435	483	179	17	55	42	57	65	179	156	264	41	96	131	216	49	4789	305	218	96
GUL3	138.42093	-33.44839	470	172	16	54	41	56	62	172	157	265	42	96	131	218	49	4831	307	219	96
GWW	138.49165	-33.82756	437	160	17	55	39	57	58	160	159	263	46	101	132	218	50	4648	309	219	101
HLS	138.69907	-31.434425	417	144	21	73	34	83	53	158	161	304	18	85	144	204	47	5855	322	235	94
HOS	142.29987	-36.62296	516	170	26	82	29	82	62	170	144	263	32	87	132	203	50	4567	295	203	87
HPN	138.03204	-32.632896	506	182	21	67	38	70	64	182	160	272	35	93	131	222	48	5150	307	225	102
HPS	138.03207	-32.633278	506	182	21	67	38	70	64	182	160	272	35	93	131	222	48	5150	307	225	102
Jer	-0.01238	42.0546	486	93	25	93	23	109	60	151	125	274	2	51	105	51	38	5825	276	200	147
JIN	146.92064	-35.95248	708	228	32	118	27	126	82	229	148	278	26	79	125	217	44	5456	304	219	89
Jui	2.14746	41.36256	618	125	25	119	33	149	93	226	164	214	64	102	70	229	32	5075	278	231	174
KEI	140.34402	-36.08699	481	173	18	60	38	64	64	173	155	243	53	105	130	204	53	3952	296	205	105
KJP	138.03683	-32.414185	396	133	19	61	32	62	47	137	166	276	39	98	133	229	48	5233	315	232	107
Koz	41.609665	38.152294	695	278	2	11	69	16	102	298	153	393	-22	30	121	273	30	9502	371	273	83
LCL	146.43048	-35.20475	487	129	32	105	14	108	50	140	163	294	32	91	134	234	45	5669	326	237	125
Leo1	-6.37373	38.00483	642	243	4	31	56	35	88	255	154	300	30	79	115	235	38	6198	330	236	87
Leo2	-6.44078	38.00846	682	259	4	33	57	37	93	271	146	297	24	72	114	228	38	6178	321	229	81
Leo3	-6.52065	38.0144	628	238	4	30	56	34	87	251	155	293	33	80	113	234	38	6109	326	236	89
Leo4	-6.46135	38.01082	655	249	4	32	56	36	90	261	150	296	28	76	114	231	38	6158	324	233	84
Lpn	3.63066	43.46353	702	191	24	110	30	110	96	228	140	266	18	68	99	214	37	5716	284	214	149
Luc	-0.89319	42.61005	774	209	39	151	18	151	83	228	113	257	-2	43	102	184	39	5502	255	184	80
MAG	143.0971	-35.611736	372	104	22	70	20	70	40	116	159	278	37	96	134	224	48	4999	315	224	128
MAI	143.96748	-36.74119	495	148	30	92	22	93	56	155	148	261	34	87	124	208	47	4803	295	209	116
Mar	-4.93898	36.51991	621	283	1	15	73	21	107	305	176	216	78	123	88	233	40	4443	294	237	132
Mcd	-6.872249	41.41422	749	293	11	60	49	60	104	293	129	276	13	57	107	206	38	5802	289	206	64
MDB	138.54117	-33.839573	576	219	20	65	44	66	79	219	152	266	37	92	133	211	50	4722	303	212	92
Mde	-5.55074	36.05394	842	404	1	12	77	23	144	404	164	216	65	110	87	219	40	4384	281	223	110
MEL	138.20067	-32.79475	496	179	20	62	40	64	62	182	162	269	40	98	132	224	49	5012	309	226	106
Men	0.72452	41.72018	469	83	23	83	27	114	57	153	146	297	12	61	111	61	37	6584	309	230	173
Mig	-0.19497	42.14799	514	102	27	102	22	113	64	157	113	261	-4	43	101	43	38	5530	257	184	133
Mig3	-0.19497	42.14799	514	102	27	102	22	113	64	157	113	261	-4	43	101	43	38	5530	257	184	133
Mir	-0.95909	42.60873	790	216	40	153	18	153	86	234	112	258	-3	42	102	184	39	5533	255	184	79
Mon	-0.21042	41.65132	427	78	21	78	28	93	57	138	128	277	4	53	104	53	37	5963	281	206	150
Mon3	-0.21042	41.65132	427	78	21	78	28	93	57	138	128	277	4	53	104	53	37	5963	281	206	150
MRY	138.16084	-32.96537	569	213	20	64	44	66	74	216	157	265	38	93	130	218	49	4955	303	220	102
Mur	0.8775	42.09763	656	120	36	120	23	174	75	206	126	273	2	47	100	47	36	6132	275	204	149
NAR	138.3087	-33.42366	441	160	16	53	40	55	58	160	164	261	49	103	130	223	49	4743	310	224	112
NLD	138.51723	-33.781715	565	216	20	63	44	65	78	216	152	266	37	92	133	211	50	4727	303	212	92
NRD	146.61082	-34.86861	481	124	32	102	15	104	50	139	165	291	33	93	131	235	45	5673	324	238	127
ORA	138.71371	-31.3666	375	124	20	69	29	79	46	136	167	306	22	90	144	200	47	5888	328	241	98
OSB	147.03804	-35.37961	590	168	34	115	19	119	61	176	156	288	27	84	129	226	44	5623	315	228	117
Pal	1.21082	41.76075	597	106	31	106	26	147	70	185	137	256	21	63	90	63	35	5899	277	213	157
Pdr	-5.56241	36.75734	720	309	1	17	68	24	117	328	167	241	62	105	94	233	39	5119	303	236	114
Per	-1.74961	42.73704	969	289	48	171	22	171	115	307	111	259	-1	42	102	183	39	5538	258	183	50
Pob	0.1852	41.00472	510	100	19	97	31	97	64	166	138	267	16	69	99	74	37	5867	283	216	140
Pra	2.05695	41.28698	621	127	23	117	35	147	96	231	167	213	67	105	70	211	32	5079	280	234	178
PRI	138.01448	-32.466167	458	157	21	66	34	69	55	161	162	275	35	94	132	225	48	5214	310	227	102
PYR1	143.84502	-36.116066	413	119	24	77	21	77	46	129	156	270	37	92	128	220	47	4981	307	220	123
PYR2	143.84497	-36.116016	413	119	24	77	21	77	46	129	156	270	37	92	128	220	47	4981	307	220	123
QUO	138.03752	-32.386707	365	120	18	59	30	59	43	124	169	276	40	101	133	231	48	5227	316	234	109
Rea	1.51543	42.70126	1391	331	93	313	12	313	145	385	21	221	-74	-39	71	94	32	5315	147	94	29
RED	138.69972	-34.816387	630	244	20	66	46	71	87	250	158	229	59	105	111	210	48	4174	288	211	113
Rei	-5.11369	36.46457	656	302	1	14	74	20	116	326	177	213	80	125	87	232	40	4347	293	236	134
Rod	-0.06712	42.22311	657	136	37	136	19	151	78	198	98	258	-16	29	99	29	38	5582	242	171	118
Roj	-6.50832	38.00467	601	228	3	27	57	32	84	241	159	293	37	85	113	239	38	6108	330	240	93
RUP	142.82086	-36.63946	444	136	24	76	25	76	50	142	146	259	36	88	126	206	48	4626	295	206	114
RWR	138.74951	-34.54283	458	165	16	54	40	56	57	165	161	240	57	106	119	216	49	4407	297	217	106
Saf	2.98831	42.87334	593	155	19	88	31	88	86	202	153	254	36	83	91	227	35	5613	290	227	121
Sar	-0.18278	41.78619	405	74	19	74	28	86	53	129	136	278	12	61	106	61	38	5955	290	213	160
Sav	1.423759	38.73283	455	136	3	35	53	68	75	198	175	220	70	115	77	238	35	5059	290	243	156
SHP	145.6543	-36.328438	567	167	31	110	18	110	62	172	152	268	34	87	122	219	45	5148	302	219	96
Sig	-1.01455	42.61293	792	219	40	151	18	151	87	236	115	260	-1	45	102	187	39	5594	259	187	81
Sil	3.19275	42.33005	570	128	20	96	33	119	89	201	157	232	49	94	81	225	34	5223	281	226	167
SLK	139.77536	-35.49906	407	144	16	53	36	57	51	144	157	233	55	107	125	205	53	3873	288	206	107
SPA	138.49667	-33.51194	444	161	16	52	40	54	59	163	156	265	41	96	133	216	50	4770	306	217	103
SWN	143.3417	-35.467533	375	106	23	71	20	71	41	116	160	276	37	96	133	225	48	5029	313	225	128
Tah	-5.783	36.18292	823	371	0	15	74	22	142	381	172	191	81	121	76	223	39	4067	272	226	129
Tek	27.519112	41.01114	627	231	17	70	43	77	93	255	128	275	2	45	92	207	33	6562	277	211	64
TEM-1	147.5928	-34.446938	570	141	35	128	14	128	59	157	159	295	26	86	134	233	45	5736	321	233	121
THE	147.10875	-35.2743	597	168	35	119	18	121	62	177	156	287	27	84	129	226	44	5635	314	228	117
Tlo	-3.57206	38.31253	505	166	5	33	48	33	70	186	151	324	18	68	120	243	37	6860	342	243	104
Tor	1.26819	38.96774	455	128	4	40	52	75	77	194	174	222	68	113	78	238	35	5094	290	243	155
UKR-99-081	33.55639	44.515278	513	152	33	103	19	131	61	161	111	288	-23	21	86	96	29	7184	265	204	40
UKR-99-137	33.788334	44.4325	590	187	38	121	21	144	74	192	103	289	-32	13	86	89	29	7166	257	196	33
Uni2	-0.445225	42.11777	471	97	23	97	23	98	59	143	119	264	1	48	102	48	38	5593	265	192	140
URA	147.27855	-35.16707	598	165	36	123	16	125	62	175	154	288	25	82	129	225	44	5660	313	227	115
Vej	-5.94986	36.30094	761	330	1	15	71	24	130	343	170	200	76	115	75	225	37	4413	276	229	125
Vil	-5.67623	36.85459	671	280	1	17	68	23	107	299	173	245	66	109	94	240	38	5256	311	243	117
WAG	147.31894	-35.12047	562	150	35	120	14	121	59	163	158	289	28	86	130	228	44	5635	317	231	120
WLE	140.90137	-36.3699	498	179	19	62	38	62	66	179	147	254	41	95	135	201	53	4156	295	201	95
WLW	140.90144	-36.369907	498	179	19	62	38	62	66	179	147	254	41	95	135	201	53	4156	295	201	95
WOL	140.90569	-36.3664	491	176	19	62	38	64	65	176	148	254	42	96	135	201	53	4149	296	202	96
WTP	138.10213	-32.9681	540	199	19	61	43	63	68	201	162	263	43	99	128	222	48	4887	306	224	107
WYC1	143.22556	-36.088127	408	116	24	78	20	78	45	128	154	270	36	92	130	218	48	4909	306	218	122
WYC2	143.2258	-36.088078	408	116	24	78	20	78	45	128	154	270	36	92	130	218	48	4909	306	218	122
Yas	-0.12236	42.20237	641	132	36	132	19	147	76	193	99	259	-17	29	99	29	38	5562	242	171	118
YER	147.04434	-35.38202	592	168	34	115	19	119	62	177	156	287	28	85	129	226	44	5617	315	228	117
